Beam_Type,beam_width,beam_height,beam_length,flange_width,flange_height,web_thickness,concrete_compressive_strength,concrete_modulus_of_elasticity,yield_strength_of_reinforcement,prestressing_strength,steel_modulus_of_elasticity,area_of_steel_reinforcement,area_of_prime_reinforcement,area_of_prestressing_reinforcement,number_of_strands,axial_load,bond_condition,Cracking Load,Ultimate Moment,Ultimate Load,Axial Displacement
Rectangular RC,412,1043,3521,412,205,363,26,23965.39171,498,1634,200000,1741,65,146,5,0.1669948,U,266.6240349,928.7152616,817.501609,7.35084428
Prestressed T-Beam,407,1171,8697,407,239,295,34,27405.47391,451,1747,200000,536,103,287,7,0.3509723,B,379.6596539,123.213828,267.8976655,23.14398988
Rectangular RC,436,503,5311,1185,0,249,25,23500,429,1896,200000,2583,654,749,4,0.9940728,B,64.34862233,326.0678799,432.9366275,16.27403125
Prestressed T-Beam,537,512,4248,1251,0,160,40,29725.41001,481,1721,200000,4496,43,288,4,0.3469536,U,103.870206,815.0942458,865.630089,23.67989517
Rectangular RC,566,851,4658,566,0,233,40,29725.41001,411,1631,200000,2872,734,395,5,0.4509715,U,302.449128,778.3095419,906.3414616,10.29104905
Rectangular RC,252,1086,8157,905,0,287,33,26999.44444,475,1740,200000,4185,954,104,4,0.126672,U,199.1883577,870.3923595,1774.947619,11.64280857
Rectangular RC,479,622,4002,1115,197,325,46,31876.95092,420,1615,200000,1142,868,881,5,0.9959705,B,146.636467,266.8798412,267.0132811,23.73570784
Prestressed T-Beam,416,893,9266,416,0,210,34,27405.47391,411,1865,200000,2946,417,322,7,0.420371,B,225.674504,412.998399,956.7107913,13.91116038
Prestressed T-Beam,451,480,6227,451,239,287,42,30459.48128,461,1848,200000,3510,139,188,6,0.2431968,B,78.5652418,392.1198122,610.4325176,9.67887238
Rectangular RC,387,798,9444,1299,168,250,30,25742.9602,491,1783,200000,4928,133,809,7,1.0097129,U,157.4795499,638.3786548,1507.212004,13.30349186
Prestressed T-Beam,579,619,9976,866,0,271,41,30094.68392,492,1793,200000,4488,634,431,7,0.5409481,U,165.7290267,453.1156191,1130.070354,12.02053011
Rectangular PC,240,382,9113,240,0,209,23,22540.40816,438,1765,200000,4642,487,550,9,0.679525,U,19.59515374,100.6970915,229.4131487,20.75407421
Rectangular RC,356,602,6138,619,0,263,42,30459.48128,443,1652,200000,534,223,722,2,0.8349208,U,97.54711182,83.2774207,127.7892021,13.22113371
Rectangular RC,214,561,4928,214,0,299,24,23025.20358,403,1681,200000,2426,611,341,3,0.4012547,B,38.49389934,314.6700961,387.6735584,6.540333643
Rectangular PC,500,1083,9788,939,0,224,42,30459.48128,430,1633,200000,2259,649,250,3,0.285775,U,443.4027195,398.2699395,974.5665419,17.11182382
Prestressed T-Beam,264,499,3393,264,0,248,42,30459.48128,423,1684,200000,3176,79,548,6,0.6459824,B,49.70229617,594.2815861,504.0993554,22.77422638
Rectangular RC,544,539,4617,544,0,158,46,31876.95092,441,1806,200000,3465,892,178,1,0.2250276,U,125.0553095,596.5046974,688.515547,23.25689141
Rectangular RC,526,991,6641,526,286,292,21,21538.10577,448,1801,200000,4409,408,852,9,1.0741164,B,276.1782606,991.4082257,1645.985507,14.6445347
Rectangular PC,208,982,3660,932,246,395,47,32221.57662,481,1658,200000,3208,477,587,5,0.6812722,B,160.428687,1410.923783,1290.995261,5.262262764
Rectangular RC,543,594,8524,682,0,392,39,29351.49059,489,1624,200000,1760,551,688,6,0.7821184,B,139.5891982,209.038968,445.4620408,17.01232202
Rectangular RC,328,811,8250,328,0,232,34,27405.47391,419,1630,200000,1882,732,521,7,0.594461,B,146.7580053,274.0954499,565.3218654,14.35563669
Rectangular RC,335,988,7164,335,207,186,29,25310.27459,407,1673,200000,2084,943,753,1,0.8818383,B,205.4492143,418.7154704,749.9194076,23.83054283
Prestressed T-Beam,262,1180,9905,262,0,219,23,22540.40816,432,1602,200000,3618,342,236,3,0.2646504,B,204.1155134,615.3616894,1523.789383,22.71855128
Rectangular RC,338,695,3319,530,0,377,48,32562.55518,467,1701,200000,3672,998,447,9,0.5322429,U,131.9634672,1199.344379,995.1559988,22.99389274
Prestressed T-Beam,280,1048,5224,280,0,321,42,30459.48128,437,1793,200000,2446,439,900,5,1.12959,B,232.5155654,771.0118733,1006.941507,20.65514043
Rectangular RC,591,437,3583,591,0,346,27,24421.91639,485,1814,200000,3145,827,900,2,1.14282,B,68.41936301,558.9948036,500.7195953,9.995717905
Rectangular RC,362,1138,6600,362,0,280,30,25742.9602,435,1720,200000,3999,107,394,3,0.474376,U,299.5715122,1045.084177,1724.388892,16.52859575
Rectangular RC,488,1177,8960,488,0,159,36,28200,447,1780,200000,4997,902,900,6,1.1214,U,473.2283864,1046.738117,2344.693383,21.9222588
Prestressed T-Beam,578,1122,8279,1363,274,354,26,23965.39171,494,1632,200000,2272,112,615,3,0.702576,B,432.8595622,556.1368421,1151.064229,20.72818333
Rectangular PC,460,428,3581,460,154,281,30,25742.9602,407,1840,200000,3545,174,437,1,0.562856,B,53.84591815,506.0512398,453.0423725,21.47578948
Rectangular RC,430,348,6696,430,0,205,41,30094.68392,472,1690,200000,3095,891,893,5,1.056419,B,38.90143854,215.3370804,360.4742727,14.551517
Rectangular RC,240,975,4767,240,0,317,29,25310.27459,481,1740,200000,3887,525,124,7,0.151032,B,143.3396243,1199.341263,1429.31495,10.31502974
Rectangular RC,227,1088,4556,571,253,182,20,21019.03899,498,1638,200000,736,868,326,5,0.3737916,U,140.1991677,317.9397021,362.1333207,6.261407573
Rectangular PC,334,592,4798,334,0,393,49,32900,459,1628,200000,4000,129,345,1,0.393162,U,95.59489707,724.771572,869.3635007,10.56988475
Rectangular RC,400,927,7206,1333,0,375,49,32900,423,1704,200000,4925,702,458,2,0.5463024,B,280.71414,938.9790977,1691.570844,5.390413511
Rectangular RC,527,835,3998,1122,0,377,27,24421.91639,416,1624,200000,958,804,309,2,0.3512712,B,222.747192,305.4349758,305.2822583,11.52969957
Prestressed T-Beam,467,610,3757,467,0,394,24,23025.20358,464,1874,200000,2172,836,516,4,0.6768888,B,99.31822769,541.4390817,508.5466575,24.05009303
Prestressed T-Beam,232,836,3282,907,0,310,32,26587.21497,438,1698,200000,684,101,987,4,1.1731482,U,107.009496,277.4145401,227.6186302,10.3517084
Rectangular PC,247,938,8838,247,272,337,26,23965.39171,478,1615,200000,4677,237,844,1,0.954142,B,129.281414,688.7684242,1521.833833,23.60646872
Prestressed T-Beam,261,533,9337,261,0,298,43,30819.96106,454,1671,200000,812,277,491,2,0.5743227,B,56.72518786,72.8338078,170.0123159,24.45594514
Prestressed T-Beam,415,508,8166,415,0,252,42,30459.48128,476,1798,200000,3490,837,677,2,0.8520722,B,80.97425409,325.0348438,663.5586337,7.056897586
Rectangular RC,492,904,9485,492,0,346,30,25742.9602,486,1684,200000,2447,812,551,1,0.6495188,U,256.926784,403.2789131,956.2751228,21.23435538
Rectangular RC,298,393,9665,298,159,268,31,26168.49251,492,1817,200000,3234,774,434,5,0.5520046,U,29.89709568,157.5053425,380.5722839,23.97646268
Rectangular PC,371,626,8489,371,0,194,33,26999.44444,460,1784,200000,2320,995,299,5,0.3733912,U,97.43754556,262.6071832,557.3180945,9.205756566
Prestressed T-Beam,559,524,7896,1048,194,206,31,26168.49251,430,1772,200000,4698,772,193,5,0.2393972,B,99.70157487,412.3440068,813.9670694,12.70108127
Prestressed T-Beam,413,1189,3130,413,0,354,45,31528.55848,427,1861,200000,3913,665,402,6,0.5236854,B,456.948028,2313.815313,1810.560483,21.75959992
Rectangular RC,234,1091,4293,234,227,317,47,32221.57662,431,1892,200000,2535,603,732,5,0.9694608,B,222.7722428,997.7185596,1070.801444,7.812749356
Prestressed T-Beam,426,310,9059,680,0,358,48,32562.55518,406,1603,200000,3334,558,266,7,0.2984786,B,33.09027642,130.6299525,295.8441849,16.20051614
Rectangular PC,300,628,9957,300,0,275,20,21019.03899,477,1774,200000,3717,854,315,9,0.391167,U,61.73086033,286.1000032,712.174433,9.828243496
Prestressed T-Beam,330,311,3060,330,0,341,25,23500,413,1764,200000,3757,577,972,9,1.2002256,B,18.6187925,299.9150878,229.4350421,20.30160336
Prestressed T-Beam,456,334,5211,737,186,276,46,31876.95092,495,1834,200000,3772,999,803,1,1.0308914,U,40.25163091,328.4092787,427.8351879,17.37470517
Rectangular PC,204,746,4548,204,0,159,30,25742.9602,472,1769,200000,529,241,343,6,0.4247369,U,72.5462953,147.0240176,167.166308,17.35346029
Rectangular RC,417,751,7367,417,0,223,30,25742.9602,453,1775,200000,4306,660,239,7,0.2969575,B,150.2876681,642.6470404,1183.595187,23.32434798
Prestressed T-Beam,454,1039,4781,454,121,215,31,26168.49251,469,1827,200000,3734,376,135,9,0.1726515,B,318.3571327,1338.148456,1599.421943,18.44837041
Rectangular PC,597,519,9276,606,289,251,20,21019.03899,450,1788,200000,1028,252,625,5,0.78225,U,83.90171425,88.51231154,205.2600505,7.946781263
Rectangular PC,558,740,8363,558,0,234,39,29351.49059,478,1614,200000,3293,833,579,2,0.6541542,B,222.6264348,485.5627854,1015.190394,8.479139418
Prestressed T-Beam,482,952,8553,482,0,342,39,29351.49059,429,1853,200000,2002,769,918,8,1.1907378,B,318.2731688,350.501722,749.4603072,10.49241281
Rectangular PC,592,834,3037,592,222,307,43,30819.96106,429,1658,200000,1300,273,282,1,0.3272892,U,315.0176051,564.5772921,428.655309,5.758845485
Rectangular RC,406,894,8990,406,299,231,25,23500,415,1846,200000,1253,230,433,7,0.5595226,U,189.285726,187.7220351,421.9052738,12.30067395
Rectangular RC,214,528,8438,1372,0,184,48,32562.55518,422,1897,200000,4375,730,995,4,1.3212605,U,48.22242283,323.627922,682.6931015,12.65808058
Prestressed T-Beam,545,643,6631,545,0,399,49,32900,430,1758,200000,1271,703,255,6,0.313803,U,184.0192591,190.708226,316.1465617,19.18940409
Rectangular RC,241,379,5664,241,161,202,42,30459.48128,411,1861,200000,1715,813,654,8,0.8519658,B,26.1738071,142.1363759,201.2651082,11.56382586
Rectangular RC,579,652,3473,579,0,316,32,26587.21497,484,1874,200000,3400,708,247,3,0.3240146,B,162.440955,1037.215567,900.5624159,22.13063033
Rectangular PC,378,695,3058,378,0,261,49,32900,402,1765,200000,2525,776,496,2,0.612808,U,149.1098175,810.265217,619.4477584,12.68395203
Rectangular PC,262,589,5636,953,0,171,49,32900,466,1721,200000,3173,653,273,8,0.3288831,U,74.22952997,491.910643,693.102096,24.98754633
Rectangular PC,551,754,9059,551,114,216,31,26168.49251,437,1780,200000,4886,579,180,6,0.22428,U,203.4800929,592.042082,1340.827305,14.50152465
Rectangular RC,430,1142,9642,430,0,347,49,32900,485,1853,200000,3597,704,129,6,0.1673259,U,457.9789247,753.2522953,1815.714658,22.74811827
Rectangular PC,440,970,9014,440,0,249,29,25310.27459,484,1725,200000,4632,295,531,8,0.6411825,U,260.1009471,809.9538801,1825.231069,9.417194719
Rectangular RC,251,427,5614,251,130,229,42,30459.48128,415,1709,200000,1150,661,715,5,0.8553545,U,34.60197646,118.2906124,166.0208745,5.069838966
Rectangular RC,295,1001,5614,295,0,344,26,23965.39171,481,1741,200000,2613,14,500,5,0.60935,B,175.8424129,763.0742548,1070.974717,15.2619885
Rectangular PC,587,842,7999,587,0,249,29,25310.27459,403,1721,200000,1907,920,911,7,1.0974817,U,261.4616953,293.2057043,586.3381071,15.29819418
Rectangular RC,421,1197,7478,421,0,224,37,28588.98389,419,1609,200000,901,831,735,6,0.8278305,B,428.073209,228.236684,426.6884807,24.09973745
Prestressed T-Beam,430,658,4411,430,0,269,25,23500,444,1854,200000,2750,178,694,3,0.9006732,B,108.6018033,596.4519003,657.7373331,8.90579425
Rectangular PC,436,826,3084,436,0,166,43,30819.96106,412,1616,200000,3843,671,172,4,0.1945664,B,227.5765982,1486.431933,1146.039021,8.942959906
Prestressed T-Beam,342,612,4533,342,0,296,27,24421.91639,494,1802,200000,3501,222,270,2,0.340578,U,77.65288975,685.7322887,777.1061161,13.3889988
Rectangular RC,370,374,6797,370,0,399,39,29351.49059,401,1614,200000,4142,425,675,8,0.762615,B,37.70717718,248.0706145,421.5339917,15.35249815
Rectangular PC,228,845,5674,228,0,337,42,30459.48128,493,1602,200000,3817,214,735,6,0.824229,B,123.0891293,897.9827176,1273.788485,17.83612255
Rectangular RC,235,1170,5873,235,0,221,28,24870.06232,430,1841,200000,2019,656,228,7,0.2938236,B,198.5936652,614.8812509,902.7993967,10.89542757
Rectangular PC,212,495,9436,212,170,273,35,27805.57498,427,1786,200000,3529,381,916,5,1.1451832,U,35.85312957,206.3508881,486.781745,10.29876023
Rectangular PC,359,1142,6120,359,163,355,43,30819.96106,472,1881,200000,3678,673,886,7,1.1665962,U,358.1852303,1161.142998,1776.548787,21.8097622
Prestressed T-Beam,526,328,4090,526,0,239,21,21538.10577,458,1702,200000,2572,964,208,4,0.2478112,B,30.25449224,245.1214957,250.6367294,14.90314161
Rectangular RC,386,1005,5834,386,0,389,48,32562.55518,410,1834,200000,3952,46,367,4,0.4711546,B,315.1278863,1001.029308,1460.001246,23.63076615
Prestressed T-Beam,442,315,7224,442,185,366,30,25742.9602,434,1777,200000,4343,681,218,2,0.2711702,U,28.02533379,186.6957251,337.1724795,18.66822971
Prestressed T-Beam,285,722,5076,285,0,200,43,30819.96106,448,1686,200000,3546,349,335,8,0.395367,B,113.6580688,742.6616288,942.437607,6.248943664
Prestressed T-Beam,483,888,8664,483,0,325,38,28972.74581,443,1852,200000,3230,561,127,7,0.1646428,B,273.9123729,521.6477864,1129.889105,7.144888352
Prestressed T-Beam,265,1104,6190,265,216,206,23,22540.40816,457,1791,200000,1678,503,208,4,0.2607696,B,180.715219,484.3844485,749.5849341,22.39145146
